@relation portrait_noG-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement

@attribute X numeric
@attribute Y numeric
@attribute Z numeric
@attribute TP numeric

@data
-0.437,-0.216,-0.046,4
0.579,-0.099,0.053,5
0.417,0.271,-0.048,5
0.188,0.174,0.01,5
0.042,0.161,0.154,5
0.134,-0.591,0.087,5
0.269,0.424,-0.056,5
-0.221,-0.49,0.173,5
-0.54,-0.117,0.293,5
0.307,0.605,-1.287,5
-0.804,-0.294,-0.276,5
0.962,1.562,-2.914,5
0.561,0.033,-0.012,5
0.126,0.209,0.029,5
0.479,-0.241,0.004,5
0.095,0.079,0.015,5
-0.367,0.131,-0.043,5
-0.187,0.457,-0.038,5
-1.124,-1.448,0.739,5
-0.088,-0.061,0.119,5
0.175,0.354,0.099,5
-0.058,-0.212,0.018,5
-0.039,0.006,-0.03,5
0.856,-0.873,0.037,5
-0.581,-0.97,0.719,4
0.29,-0.563,0.001,5
-0.994,-0.351,-0.421,5
-0.429,0.086,-0.034,5
0.155,-0.187,0.079,5
0.205,-0.143,0.14,5
0.903,0.089,-0.022,5
0.208,0.182,0.001,5
0.502,-0.121,0.044,5
-0.583,0.337,-2.785,5
-0.31,0.378,0.007,5
-0.049,-0.022,0.01,5
0.097,0.431,-0.063,5
1.254,1.159,-0.946,5
-0.379,-0.517,-0.049,5
1.29,0.233,0.343,6
-0.105,-0.042,0.088,5
0.018,-0.032,-0.006,5
0.163,0.32,0.029,6
0.151,0.122,0.018,5
-0.003,0.156,-0.021,4
-0.712,-0.004,-1.015,5
-0.033,0.208,-0.001,5
0.049,-0.749,0.004,5
0.208,-0.269,-0.118,5
0.08,0.244,0.076,5
-0.047,0.276,0.033,5
0.884,0.723,-1.309,5
0.055,0.129,-0.044,5
0.381,0.409,-0.052,5
-0.224,0.292,-0.017,6
-0.345,0.392,0.125,5
0.191,0.421,0.164,5
0.058,0.078,-0.026,5
